Image,Base Word,Word Group
,,
https://www.google.com/search?q=dog&hl=en&tbm=isch&source=hp&biw=1920&bih=912&ei=08JtYfCLBfTC5OUP47uguAM&iflsig=ALs-wAMAAAAAYW3Q4-NriO0758Zsa_1vzMr7g3f_yUaZ&ved=0ahUKEwiwwaWQ0dTzAhV0IbkGHeMdCDcQ4dUDCAY&uact=5&oq=dog&gs_lcp=CgNpbWcQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgARQsGFYxWhg02xoAHAAeACAAXOIAckCkgEDMC4zmAEAoAEBqgELZ3dzLXdpei1pbWewAQA&sclient=img,dog,
,,
https://www.google.com/search?q=cat&tbm=isch&ved=2ahUKEwigw4iX0dTzAhU9N7kGHfNWA8UQ2-cCegQIABAA&oq=cat&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIECAAQQ1Cd4wNYxOcDYJjwA2gAcAB4AIABcogBtAOSAQMwLjSYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=4cJtYeDOEb3u5OUP862NqAw&bih=912&biw=1920&hl=en,cat,
,,
https://www.google.com/search?q=fish&tbm=isch&ved=2ahUKEwjL0O210dTzAhX1OLkGHSgGB50Q2-cCegQIABAA&oq=fish&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIECAAQQzIECAAQQ1CUgwJYxosCYJ6RAmgAcAB4AIABhAGIAeEEkgEDMC41mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=IcNtYYu8NPXx5OUPqIyc6Ak&bih=912&biw=1920&hl=en,fish,
,,
https://www.google.com/search?q=bird&tbm=isch&ved=2ahUKEwjCzIDH0dTzAhWrL7kGHYwwDcYQ2-cCegQIABAA&oq=bird&gs_lcp=CgNpbWcQAzIECAAQQzIFCAAQgAQyBAgAEEMyBQgAEIAEMgQIABBDMgUIABCABDIECAAQQzIECAAQQzIFCAAQgAQyBQgAEIAEUJTMAlju1QJgytkCaABwAHgAgAGjAYgBwQWSAQMwLjWYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=RcNtYYKWMqvf5OUPjOG0sAw&bih=912&biw=1920&hl=en,bird,
,,
https://www.google.com/search?q=cow&tbm=isch&ved=2ahUKEwik8rzc0dTzAhVuNbkGHaHSBW0Q2-cCegQIABAA&oq=cow&gs_lcp=CgNpbWcQAzIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIECAAQQzIFCAAQgARQiaECWP2oAmDLrAJoAHAAeACAAX2IAcIDkgEDMC40mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=csNtYaTxM-7q5OUPoaWX6AY&bih=912&biw=1920&hl=en,cow,
https://www.google.com/search?q=bull&tbm=isch&ved=2ahUKEwjCzIDH0dTzAhWrL7kGHYwwDcYQ2-cCegQIABAA&oq=bull&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIFCAAQgAQyBAgAEEMyBAgAEEMyBAgAEEMyBQgAEIAEUKhTWMtfYIBlaABwAHgAgAGSAYgBlQWSAQMwLjWYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=RcNtYYKWMqvf5OUPjOG0sAw&bih=912&biw=1920&hl=en,cow,uncastrated_masculine
,,
https://www.google.com/search?q=pig&tbm=isch&ved=2ahUKEwjStuqc0tTzAhXpN7kGHcazB6EQ2-cCegQIABAA&oq=pig&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBAgAEEMyBAgAEEMyBQgAEIAEUPv6AVjBgQJgrYUCaABwAHgAgAGDAYgB6gOSAQMwLjSYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=-cNtYZLWMenv5OUPxueeiAo&bih=912&biw=1920&hl=en,pig,
,,
https://www.google.com/search?q=mouse+animal&tbm=isch&ved=2ahUKEwid2Jat0tTzAhVRD7kGHezsB3oQ2-cCegQIABAA&oq=mouse+animal&gs_lcp=CgNpbWcQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQ6BAgAEENQ4Z0CWM_OAmDt1gJoAHAAeACAAaABiAG_DJIBBDAuMTOYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=HMRtYZ3aBdGe5OUP7Nmf0Ac&bih=912&biw=1920&hl=en,mouse,
,,
https://www.google.com/search?q=horse&tbm=isch&ved=2ahUKEwj01sfC0tTzAhUvALkGHWFECaQQ2-cCegQIABAA&oq=horse&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIECAAQQzIFCAAQgAQyBQgAEIAEMgQIABBDMgQIABBDMgUIABCABDIFCAAQgAQyBAgAEENQvqkCWIu5AmCAvQJoAHAAeACAAYUBiAHbBZIBAzAuNpgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=SMRtYfSSOa-A5OUP4YiloAo&bih=912&biw=1920&hl=en,horse,
,,
https://www.google.com/search?q=wing&tbm=isch&ved=2ahUKEwin7cDW0tTzAhV_BLkGHZBnDegQ2-cCegQIABAA&oq=wing&gs_lcp=CgNpbWcQAzIECAAQQzIECAAQQzIFCAAQgAQyBAgAEEMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABBDMgQIABBDUNnYAVjJ4wFgu-YBaABwAHgAgAGJAYgB8QSSAQMwLjWYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=csRtYafsLv-I5OUPkM-1wA4&bih=912&biw=1920&hl=en,wing,
,,
https://www.google.com/search?q=animals&tbm=isch&ved=2ahUKEwiX-NOE1dTzAhUzBtQKHcnOBq0Q2-cCegQIABAA&oq=animals&gs_lcp=CgNpbWcQAzIECAAQQzIFCAAQgAQyBQgAEIAEMgQIABBDMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIECAAQQzIFCAAQgARQ7uYBWMfuAWDQ9gFoAHAAeACAAYkBiAGgB5IBAzAuOJgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=7MZtYZfSGbOM0AbJnZvoCg&bih=912&biw=1920&hl=en,animal,