Base Word,Grouping,Grouping Key,Spelling,Pronunciation Sound,Pronunciation Spelling,Pronunciation Spelling Language
,,,,,,
dog,masculine/singular,00/00,dog,https://forvo.com/word/dog/#en,,IPA
dog,masculine/plural,00/01,dogs,https://forvo.com/word/dogs/#en,,IPA
dog,feminine/singular,01/00,bitch,https://forvo.com/word/bitch/#en,,IPA
dog,feminine/plural,01/01,bitches,https://forvo.com/word/bitches/#en,,IPA
,,,,,,
cat,singular,00,cat,,,
cat,plural,01,cats,,,
,,,,,,
fish,singular,00,fish,,,
fish,plural,01,fish,,,
fish,plural,02,fishes,,,
,,,,,,
bird,singular,00,bird,,,
bird,plural,01,birds,,,
,,,,,,
cow,feminine/singular,00/00,cow,,,
cow,feminine/plural,00/01,cows,,,
cow,masculine/singular,01/00,ox,,,
cow,masculine/plural,01/01,oxen,,,
cow,uncastrated_masculine/singular,02/00,bull,,,
cow,uncastrated_masculine/plural,02/01,bulls,,,
,,,,,,
pig,singular,00,pig,,,
pig,plural,01,pigs,,,
,,,,,,
mouse,singular,00,mouse,,,
mouse,plural,01,mice,,,
,,,,,,
horse,masculine/singular,00/00,horse,,,
horse,masculine/plural,00/01,horses,,,
horse,feminine/singular,01/00,mare,,,
horse,feminine/plural,01/01,mares,,,
horse,for-breeding_masculine/singular,02/00,stallion,,,
horse,for-breeding_masculine/plural,02/01,stallions,,,
,,,,,,
wing,singular,00,wing,,,
wing,plural,01,wings,,,
,,,,,,
animal,singular,00,animal,,,
animal,plural,01,animals,,,